antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03064461311883992,0.03149427891695933,0.022091310751104567,0.7208872458410351,22.889466615247546,1.0,0.021126180758237512,3.4699443384498347,0.9865440428404256,0.5516265912305517,0.711810939178713,0.7111630473809493
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03149427891695933,0.03064461311883992,0.022091310751104567,0.7014388489208634,22.889466615247546,1.0,0.021126180758237512,3.2467565970236456,0.9874095335786762,0.5516265912305517,0.6920003178197232,0.7111630473809493
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.024696952532004077,0.039141271100033986,0.022091310751104567,0.8944954128440368,22.852998579375726,1.0,0.021124640636704724,9.107269691312728,0.9804563500927771,0.5291723202170965,0.8901976076371294,0.7294474169864178
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.039141271100033986,0.024696952532004077,0.022091310751104567,0.5643994211287989,22.852998579375726,1.0,0.021124640636704724,2.2389847368783564,0.9951952741789444,0.5291723202170965,0.5533689964344184,0.7294474169864178
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.039141271100033986,0.03149427891695933,0.02605641780899513,0.6657018813314038,21.137232037814037,1.0,0.02482369169980634,2.897131832330655,0.991498632573709,0.5844980940279544,0.6548310336311033,0.7465200054139034
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03149427891695933,0.039141271100033986,0.02605641780899513,0.827338129496403,21.137232037814034,1.0,0.02482369169980634,5.564973471545639,0.9836700961719398,0.5844980940279544,0.8203046240717737,0.7465200054139034
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02605641780899513,0.044352554661833014,0.022091310751104567,0.8478260869565217,19.115608862235547,1.0,0.020935642055939552,6.279968926507954,0.9730406850332406,0.45720984759671757,0.8407635433068837,0.6729551890721306
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.044352554661833014,0.02605641780899513,0.022091310751104567,0.49808429118773945,19.115608862235547,1.0,0.020935642055939552,1.9404524805484906,0.9916698203106834,0.45720984759671757,0.48465627990161403,0.6729551890721306
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.044352554661833014,0.03149427891695933,0.024696952532004077,0.5568326947637292,17.680439556400856,1.0,0.023300100804804623,2.1854178086686478,0.9872263299652679,0.4828349944629013,0.5424215927803764,0.6705026783171164
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03149427891695933,0.044352554661833014,0.024696952532004077,0.7841726618705036,17.680439556400856,1.0,0.023300100804804623,4.427833163400174,0.9741195118051256,0.4828349944629013,0.7741558990375124,0.6705026783171164
